id,Project,TeamExp,YearEnd,Length,Effort,Transactions,Enitities,PointsNon Adjust,Adjustment,PointsAdju,Language,Team selections,Team size,DBMSused,Security,DBMS exp,Software tool 
59,59,3,87,5,3472,120,126,246,15,197,2,3,4,3,3,0,1
60,60,2,87,6,1575,47,32,79,14,62,2,3,1,3,2,1,3
61,61,1,86,12,2926,126,107,233,23,205,2,2,4,3,2,0,1
62,62,2,86,6,1876,101,45,146,15,117,2,1,1,3,5,0,1
63,63,1,86,5,2520,78,99,177,14,140,1,3,8,5,2,1,1
64,64,7,86,13,1603,69,74,143,14,113,1,3,3,1,2,1,2
65,65,3,86,8,3626,194,97,291,35,291,2,3,6,2,5,1,2
66,66,-1,87,10,6783,224,110,334,28,309,2,3,5,1,2,0,3
67,67,4,87,15,11361,323,184,507,35,507,2,3,8,1,2,0,3
68,68,3,86,6,1267,42,31,73,27,67,2,3,7,5,2,1,3
69,69,2,87,5,2548,74,43,117,25,105,2,3,5,1,2,0,3
70,70,4,87,10,1155,101,57,158,9,117,2,2,1,5,2,1,2
71,71,4,86,6,546,97,42,139,6,99,3,3,3,2,3,1,1
72,72,3,84,13,2275,134,77,211,13,165,2,3,6,5,4,1,3
73,73,5,86,26,9100,482,227,709,26,645,2,3,5,5,3,1,2
74,74,2,84,6,595,213,73,286,6,203,3,2,8,5,1,1,3
75,75,-1,84,22,3941,139,143,282,22,245,2,3,2,5,3,1,2
76,76,3,86,24,13860,473,182,655,40,688,2,2,8,1,2,1,1
77,77,4,85,12,1400,229,169,398,39,414,3,3,6,1,1,1,1
78,78,3,83,12,2800,227,73,300,34,297,1,3,2,3,3,0,1
79,79,4,82,24,9520,395,193,588,40,617,1,2,5,1,3,1,1
80,80,3,86,12,5880,469,176,645,43,697,3,3,5,3,2,1,1
81,81,4,85,36,23940,886,241,1127,34,1116,1,3,2,1,5,1,1
82,82,4,85,12,5152,253,52,305,34,302,1,3,4,1,4,0,5
83,83,0,86,4,5635,197,124,321,33,315,1,3,4,2,2,1,4
84,84,4,85,1,805,40,60,100,18,83,1,3,3,2,3,1,3
85,85,0,86,5,3829,200,119,319,30,303,1,3,8,2,2,1,1
86,86,0,86,4,2149,140,94,234,24,208,1,3,1,2,2,1,1
87,87,0,86,4,2821,97,89,186,38,192,1,2,2,2,2,1,1
88,88,1,85,9,2569,119,42,161,25,145,2,3,1,2,2,0,1
89,89,2,83,13,3913,186,52,238,25,214,1,2,1,2,2,1,1
90,90,1,85,12,7854,172,88,260,30,247,1,3,5,1,2,1,3
91,91,4,83,4,2422,78,38,116,24,103,1,3,2,2,4,1,1
92,92,1,84,21,4067,167,99,266,24,237,1,3,7,2,2,0,1
93,93,1,84,17,9051,146,112,258,40,271,1,3,4,2,2,1,1
94,94,1,84,3,2282,33,72,105,19,88,1,3,2,2,2,1,1
95,95,4,85,8,4172,162,61,223,32,216,1,3,5,5,2,1,4
96,96,4,85,9,4977,223,121,344,28,320,1,2,6,2,1,0,1
97,97,2,85,8,1617,119,48,167,26,152,2,2,5,1,2,1,2
98,98,3,85,8,3192,57,43,100,43,108,1,3,3,5,2,0,2
99,99,4,86,14,3437,68,316,384,20,326,2,2,3,3,2,1,1
100,100,4,87,14,2149,9,386,395,21,340,2,2,5,1,2,1,1
101,101,4,85,12,2112,253,52,305,34,302,1,2,2,1,2,1,2
102,102,0,86,4,1056,197,124,321,33,315,1,3,3,2,2,0,3
103,103,4,85,1,3168,40,60,100,18,83,1,3,5,1,2,1,2
104,104,0,86,5,5280,200,119,319,30,303,1,3,5,2,1,0,5
105,105,0,86,4,19008,140,94,234,24,208,1,3,7,2,1,0,5
106,106,0,86,4,7392,97,89,186,38,192,1,3,3,2,1,1,1
107,107,1,85,9,5280,119,42,161,25,145,2,3,6,2,1,1,1
108,108,2,83,13,4400,186,52,238,25,214,1,3,6,2,2,0,2
109,109,1,85,12,4224,172,88,260,30,247,1,3,6,2,1,1,1
110,110,4,83,4,6468,78,38,116,24,103,1,3,7,2,1,1,1
111,111,1,84,21,8910,167,99,266,24,237,1,3,6,2,1,1,1
112,112,1,84,17,5280,146,112,258,40,271,1,3,6,3,2,1,1
113,113,1,84,3,880,33,72,105,19,88,1,3,5,1,4,1,2
114,114,4,85,8,1848,162,61,223,32,216,1,2,5,5,2,1,2
115,115,4,85,9,1584,223,121,344,28,320,1,3,9,3,2,1,3
116,116,2,85,8,1320,119,48,167,26,152,2,2,2,1,2,0,5
117,117,3,85,8,880,57,43,100,43,108,1,3,5,2,1,1,5
118,118,4,86,14,264,68,316,384,20,326,2,3,2,2,2,1,2
119,119,4,87,14,2772,9,386,395,21,340,2,3,2,2,2,1,5
120,120,2,86,5,870,58,34,92,29,86,1,3,3,3,2,1,1
121,121,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
122,122,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
123,123,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
124,124,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
125,125,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
126,126,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
127,127,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
128,128,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
129,129,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
130,130,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
131,131,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
132,132,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
133,133,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
134,134,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
135,135,4,85,9,4977,223,121,344,28,320,1,3,4,2,2,1,2
136,136,2,85,8,1617,119,48,167,26,152,2,1,4,2,2,1,2
137,137,3,85,8,3192,57,43,100,43,108,1,3,4,2,2,1,2
138,138,4,86,14,3437,68,316,384,20,326,2,1,2,2,2,1,2
139,139,4,87,14,4494,9,386,395,21,340,2,3,7,2,2,1,2
140,140,2,86,5,840,58,34,92,29,86,1,1,2,2,5,1,3
141,141,4,86,12,14973,318,269,587,34,581,2,3,8,5,2,1,3
142,142,4,85,18,5180,88,170,258,34,255,1,3,6,2,5,1,5
143,143,4,86,5,5775,306,132,438,37,447,1,3,3,1,2,1,1
144,144,1,87,20,10577,304,78,382,39,397,1,3,6,2,5,1,1
145,145,4,86,8,3983,89,200,289,33,283,1,3,6,2,3,1,1
146,146,1,85,14,3164,86,230,316,33,310,1,3,2,5,4,1,1
147,147,0,86,6,3542,71,235,306,37,312,1,3,4,2,3,0,2
148,148,1,85,14,4277,148,324,472,39,491,1,2,2,2,2,1,3
149,149,4,85,16,7252,116,170,286,27,263,1,2,2,2,3,1,1
150,150,1,85,14,3948,175,277,452,37,461,1,3,2,3,2,1,5
151,151,3,86,6,3927,79,128,207,27,190,1,3,2,3,2,0,3
152,152,1,86,9,710,145,38,183,27,168,3,3,1,3,2,1,1
153,153,4,87,9,2429,174,78,252,41,267,3,2,9,5,2,0,3
154,154,1,85,5,6405,194,91,285,35,285,1,3,3,2,2,0,2
155,155,2,88,3,651,126,49,175,38,180,3,3,3,3,2,0,5
156,156,3,86,17,9135,317,119,436,34,432,2,3,2,1,4,0,5
157,157,4,87,11,1435,289,88,377,28,351,3,2,5,5,3,1,3
158,158,-1,87,8,5922,260,144,404,24,360,1,2,9,5,3,1,2
159,159,4,88,4,847,158,59,217,18,180,3,2,4,5,3,1,2
160,160,3,88,16,8050,302,145,447,52,523,2,3,3,2,2,1,1
161,161,1,87,9,4620,451,48,499,28,464,1,3,5,2,2,0,2
162,162,4,87,34,2352,661,132,793,23,698,3,3,6,2,5,1,2
163,163,1,88,10,2174,64,54,118,25,106,1,3,2,1,2,0,3
164,164,4,86,39,19894,284,230,514,50,591,1,3,4,1,1,0,5
165,165,1,86,18,6699,182,126,308,35,308,1,2,5,2,2,0,2
166,166,3,87,27,14987,173,332,505,19,424,1,3,5,1,3,0,3
167,167,2,88,9,4004,252,7,259,28,241,1,2,3,1,4,0,2
168,168,3,85,11,12824,131,180,311,51,361,1,2,6,5,5,1,2
169,169,3,85,8,2331,106,39,145,6,103,1,2,6,5,4,1,3
170,170,3,85,9,5817,96,108,204,29,192,1,2,6,5,4,1,3
171,171,3,85,7,2989,116,72,188,18,156,1,3,3,5,3,0,1
172,172,3,85,6,3136,86,49,135,32,131,1,3,4,5,3,0,2
173,173,3,85,17,14434,221,121,342,35,342,1,2,6,5,4,1,3
174,174,1,87,12,2583,61,96,157,18,130,1,3,3,3,2,1,3
175,175,3,86,12,3647,132,89,221,5,155,2,3,2,2,2,1,5
176,176,7,86,13,8232,45,387,432,16,350,2,2,5,2,2,1,2
177,177,1,86,12,3276,55,112,167,12,129,2,2,2,3,2,1,5
178,178,4,87,8,2723,124,52,176,14,139,2,3,4,5,3,0,3
179,179,3,87,5,3472,120,126,246,15,197,2,3,4,3,3,0,1
180,180,2,87,6,1575,47,32,79,14,62,2,3,1,3,2,1,3
181,181,1,86,12,2926,126,107,233,23,205,2,2,4,3,2,0,1
182,182,2,86,6,1876,101,45,146,15,117,2,1,1,3,5,0,1
183,183,1,86,5,2520,78,99,177,14,140,1,3,8,5,2,1,1
184,184,7,86,13,1603,69,74,143,14,113,1,3,3,1,2,1,2
185,185,3,86,8,3626,194,97,291,35,291,2,3,6,2,5,1,2
186,186,-1,87,10,6783,224,110,334,28,309,2,3,5,1,2,0,3
187,187,4,87,15,11361,323,184,507,35,507,2,3,8,1,2,0,3
188,188,3,86,6,1267,42,31,73,27,67,2,3,7,5,2,1,3
189,189,2,87,5,2548,74,43,117,25,105,2,3,5,1,2,0,3
190,190,4,87,10,1155,101,57,158,9,117,2,2,1,5,2,1,2
191,191,4,86,6,546,97,42,139,6,99,3,3,3,2,3,1,1
192,192,3,84,13,2275,134,77,211,13,165,2,3,6,5,4,1,3
193,193,5,86,26,9100,482,227,709,26,645,2,3,5,5,3,1,2
194,194,2,84,6,595,213,73,286,6,203,3,2,8,5,1,1,3
195,195,-1,84,22,3941,139,143,282,22,245,2,3,2,5,3,1,2
196,196,3,86,24,13860,473,182,655,40,688,2,2,8,1,2,1,1
197,197,4,85,12,1400,229,169,398,39,414,3,3,6,1,1,1,1
198,198,3,83,12,2800,227,73,300,34,297,1,3,2,3,3,0,1
199,199,4,82,24,9520,395,193,588,40,617,1,2,5,1,3,1,1
200,200,3,86,12,5880,469,176,645,43,697,3,3,5,3,2,1,1
201,201,4,85,36,23940,886,241,1127,34,1116,1,3,2,1,5,1,1
202,202,4,85,12,5152,253,52,305,34,302,1,3,4,1,4,0,5
203,203,0,86,4,5635,197,124,321,33,315,1,3,4,2,2,1,4
204,204,4,85,1,805,40,60,100,18,83,1,3,3,2,3,1,3
205,205,0,86,5,3829,200,119,319,30,303,1,3,8,2,2,1,1
206,206,0,86,4,2149,140,94,234,24,208,1,3,1,2,2,1,1
207,207,0,86,4,2821,97,89,186,38,192,1,2,2,2,2,1,1
208,208,1,85,9,2569,119,42,161,25,145,2,3,1,2,2,0,1
209,209,2,83,13,3913,186,52,238,25,214,1,2,1,2,2,1,1
210,210,1,85,12,7854,172,88,260,30,247,1,3,5,1,2,1,3
211,211,4,83,4,2422,78,38,116,24,103,1,3,2,2,4,1,1
212,212,1,84,21,4067,167,99,266,24,237,1,3,7,2,2,0,1
213,213,1,84,17,9051,146,112,258,40,271,1,3,4,2,2,1,1
214,214,1,84,3,2282,33,72,105,19,88,1,3,2,2,2,1,1
215,215,4,85,8,4172,162,61,223,32,216,1,3,5,5,2,1,4
216,216,4,85,9,4977,223,121,344,28,320,1,2,6,2,1,0,1
217,217,2,85,8,1617,119,48,167,26,152,2,2,5,1,2,1,2
218,218,3,85,8,3192,57,43,100,43,108,1,3,3,5,2,0,2
219,219,4,86,14,3437,68,316,384,20,326,2,2,3,3,2,1,1
220,220,4,87,14,2149,9,386,395,21,340,2,2,5,1,2,1,1
221,221,4,85,12,2112,253,52,305,34,302,1,2,2,1,2,1,2
222,222,0,86,4,1056,197,124,321,33,315,1,3,3,2,2,0,3
223,223,4,85,1,3168,40,60,100,18,83,1,3,5,1,2,1,2
224,224,0,86,5,5280,200,119,319,30,303,1,3,5,2,1,0,5
225,225,0,86,4,19008,140,94,234,24,208,1,3,7,2,1,0,5
226,226,0,86,4,7392,97,89,186,38,192,1,3,3,2,1,1,1
227,227,1,85,9,5280,119,42,161,25,145,2,3,6,2,1,1,1
228,228,2,83,13,4400,186,52,238,25,214,1,3,6,2,2,0,2
229,229,1,85,12,4224,172,88,260,30,247,1,3,6,2,1,1,1
230,230,4,83,4,6468,78,38,116,24,103,1,3,7,2,1,1,1
231,231,1,84,21,8910,167,99,266,24,237,1,3,6,2,1,1,1
232,232,1,84,17,5280,146,112,258,40,271,1,3,6,3,2,1,1
233,233,1,84,3,880,33,72,105,19,88,1,3,5,1,4,1,2
234,234,4,85,8,1848,162,61,223,32,216,1,2,5,5,2,1,2
235,235,4,85,9,1584,223,121,344,28,320,1,3,9,3,2,1,3
236,236,2,85,8,1320,119,48,167,26,152,2,2,2,1,2,0,5
237,237,3,85,8,880,57,43,100,43,108,1,3,5,2,1,1,5
238,238,4,86,14,264,68,316,384,20,326,2,3,2,2,2,1,2
239,239,4,87,14,2772,9,386,395,21,340,2,3,2,2,2,1,5
240,240,2,86,5,870,58,34,92,29,86,1,3,3,3,2,1,1
241,241,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
242,242,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
243,243,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
244,244,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
245,245,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
246,246,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
247,247,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
248,248,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
249,249,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
250,250,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
251,251,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
252,252,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
253,253,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
254,254,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
255,255,4,85,9,4977,223,121,344,28,320,1,3,4,2,2,1,2
256,256,2,85,8,1617,119,48,167,26,152,2,1,4,2,2,1,2
257,257,3,85,8,3192,57,43,100,43,108,1,3,4,2,2,1,2
258,258,4,86,14,3437,68,316,384,20,326,2,1,2,2,2,1,2
259,259,4,87,14,4494,9,386,395,21,340,2,3,7,2,2,1,2
260,260,2,86,5,840,58,34,92,29,86,1,1,2,2,5,1,3
261,261,4,86,12,14973,318,269,587,34,581,2,3,8,5,2,1,3
262,262,4,85,18,5180,88,170,258,34,255,1,3,6,2,5,1,5
263,263,4,86,5,5775,306,132,438,37,447,1,3,3,1,2,1,1
264,264,1,87,20,10577,304,78,382,39,397,1,3,6,2,5,1,1
265,265,4,86,8,3983,89,200,289,33,283,1,3,6,2,3,1,1
266,266,1,85,14,3164,86,230,316,33,310,1,3,2,5,4,1,1
267,267,0,86,6,3542,71,235,306,37,312,1,3,4,2,3,0,2
268,268,1,85,14,4277,148,324,472,39,491,1,2,2,2,2,1,3
269,269,4,85,16,7252,116,170,286,27,263,1,2,2,2,3,1,1
270,270,1,85,14,3948,175,277,452,37,461,1,3,2,3,2,1,5
271,271,3,86,6,3927,79,128,207,27,190,1,3,2,3,2,0,3
272,272,1,86,9,710,145,38,183,27,168,3,3,1,3,2,1,1
273,273,4,87,9,2429,174,78,252,41,267,3,2,9,5,2,0,3
274,274,1,85,5,6405,194,91,285,35,285,1,3,3,2,2,0,2
275,275,2,88,3,651,126,49,175,38,180,3,3,3,3,2,0,5
276,276,3,86,17,9135,317,119,436,34,432,2,3,2,1,4,0,5
277,277,4,87,11,1435,289,88,377,28,351,3,2,5,5,3,1,3
278,278,-1,87,8,5922,260,144,404,24,360,1,2,9,5,3,1,2
279,279,4,88,4,847,158,59,217,18,180,3,2,4,5,3,1,2
280,280,3,88,16,8050,302,145,447,52,523,2,3,3,2,2,1,1
281,281,1,87,9,4620,451,48,499,28,464,1,3,5,2,2,0,2
282,282,4,87,34,2352,661,132,793,23,698,3,3,6,2,5,1,2
283,283,1,88,10,2174,64,54,118,25,106,1,3,2,1,2,0,3
284,284,4,86,39,19894,284,230,514,50,591,1,3,4,1,1,0,5
285,285,1,86,18,6699,182,126,308,35,308,1,2,5,2,2,0,2
286,286,3,87,27,14987,173,332,505,19,424,1,3,5,1,3,0,3
287,287,2,88,9,4004,252,7,259,28,241,1,2,3,1,4,0,2
288,288,3,85,11,12824,131,180,311,51,361,1,2,6,5,5,1,2
289,289,3,85,8,2331,106,39,145,6,103,1,2,6,5,4,1,3
290,290,3,85,9,5817,96,108,204,29,192,1,2,6,5,4,1,3
291,291,3,85,7,2989,116,72,188,18,156,1,3,3,5,3,0,1
292,292,3,85,6,3136,86,49,135,32,131,1,3,4,5,3,0,2
293,293,3,85,17,14434,221,121,342,35,342,1,2,6,5,4,1,3
294,294,1,87,12,2583,61,96,157,18,130,1,3,3,3,2,1,3
295,295,3,86,12,3647,132,89,221,5,155,2,3,2,2,2,1,5
296,296,7,86,13,8232,45,387,432,16,350,2,2,5,2,2,1,2
297,297,1,86,12,3276,55,112,167,12,129,2,2,2,3,2,1,5
298,298,4,87,8,2723,124,52,176,14,139,2,3,4,5,3,0,3
299,299,3,87,5,3472,120,126,246,15,197,2,3,4,3,3,0,1
300,300,2,87,6,1575,47,32,79,14,62,2,3,1,3,2,1,3
301,301,1,86,12,2926,126,107,233,23,205,2,2,4,3,2,0,1
302,302,2,86,6,1876,101,45,146,15,117,2,1,1,3,5,0,1
303,303,1,86,5,2520,78,99,177,14,140,1,3,8,5,2,1,1
304,304,7,86,13,1603,69,74,143,14,113,1,3,3,1,2,1,2
305,305,3,86,8,3626,194,97,291,35,291,2,3,6,2,5,1,2
306,306,-1,87,10,6783,224,110,334,28,309,2,3,5,1,2,0,3
307,307,4,87,15,11361,323,184,507,35,507,2,3,8,1,2,0,3
308,308,3,86,6,1267,42,31,73,27,67,2,3,7,5,2,1,3
309,309,2,87,5,2548,74,43,117,25,105,2,3,5,1,2,0,3
310,310,4,87,10,1155,101,57,158,9,117,2,2,1,5,2,1,2
311,311,4,86,6,546,97,42,139,6,99,3,3,3,2,3,1,1
312,312,3,84,13,2275,134,77,211,13,165,2,3,6,5,4,1,3
313,313,5,86,26,9100,482,227,709,26,645,2,3,5,5,3,1,2
314,314,2,84,6,595,213,73,286,6,203,3,2,8,5,1,1,3
315,315,-1,84,22,3941,139,143,282,22,245,2,3,2,5,3,1,2
316,316,3,86,24,13860,473,182,655,40,688,2,2,8,1,2,1,1
317,317,4,85,12,1400,229,169,398,39,414,3,3,6,1,1,1,1
318,318,3,83,12,2800,227,73,300,34,297,1,3,2,3,3,0,1
319,319,4,82,24,9520,395,193,588,40,617,1,2,5,1,3,1,1
320,320,3,86,12,5880,469,176,645,43,697,3,3,5,3,2,1,1
321,321,4,85,36,23940,886,241,1127,34,1116,1,3,2,1,5,1,1
322,322,4,85,12,5152,253,52,305,34,302,1,3,4,1,4,0,5
323,323,0,86,4,5635,197,124,321,33,315,1,3,4,2,2,1,4
324,324,4,85,1,805,40,60,100,18,83,1,3,3,2,3,1,3
325,325,0,86,5,3829,200,119,319,30,303,1,3,8,2,2,1,1
326,326,0,86,4,2149,140,94,234,24,208,1,3,1,2,2,1,1
327,327,0,86,4,2821,97,89,186,38,192,1,2,2,2,2,1,1
328,328,1,85,9,2569,119,42,161,25,145,2,3,1,2,2,0,1
329,329,2,83,13,3913,186,52,238,25,214,1,2,1,2,2,1,1
330,330,1,85,12,7854,172,88,260,30,247,1,3,5,1,2,1,3
331,331,4,83,4,2422,78,38,116,24,103,1,3,2,2,4,1,1
332,332,1,84,21,4067,167,99,266,24,237,1,3,7,2,2,0,1
333,333,1,84,17,9051,146,112,258,40,271,1,3,4,2,2,1,1
334,334,1,84,3,2282,33,72,105,19,88,1,3,2,2,2,1,1
335,335,4,85,8,4172,162,61,223,32,216,1,3,5,5,2,1,4
336,336,4,85,9,4977,223,121,344,28,320,1,2,6,2,1,0,1
337,337,2,85,8,1617,119,48,167,26,152,2,2,5,1,2,1,2
338,338,3,85,8,3192,57,43,100,43,108,1,3,3,5,2,0,2
339,339,4,86,14,3437,68,316,384,20,326,2,2,3,3,2,1,1
340,340,4,87,14,2149,9,386,395,21,340,2,2,5,1,2,1,1
341,341,4,85,12,2112,253,52,305,34,302,1,2,2,1,2,1,2
342,342,0,86,4,1056,197,124,321,33,315,1,3,3,2,2,0,3
343,343,4,85,1,3168,40,60,100,18,83,1,3,5,1,2,1,2
344,344,0,86,5,5280,200,119,319,30,303,1,3,5,2,1,0,5
345,345,0,86,4,19008,140,94,234,24,208,1,3,7,2,1,0,5
346,346,0,86,4,7392,97,89,186,38,192,1,3,3,2,1,1,1
347,347,1,85,9,5280,119,42,161,25,145,2,3,6,2,1,1,1
348,348,2,83,13,4400,186,52,238,25,214,1,3,6,2,2,0,2
349,349,1,85,12,4224,172,88,260,30,247,1,3,6,2,1,1,1
350,350,4,83,4,6468,78,38,116,24,103,1,3,7,2,1,1,1
351,351,1,84,21,8910,167,99,266,24,237,1,3,6,2,1,1,1
352,352,1,84,17,5280,146,112,258,40,271,1,3,6,3,2,1,1
353,353,1,84,3,880,33,72,105,19,88,1,3,5,1,4,1,2
354,354,4,85,8,1848,162,61,223,32,216,1,2,5,5,2,1,2
355,355,4,85,9,1584,223,121,344,28,320,1,3,9,3,2,1,3
356,356,2,85,8,1320,119,48,167,26,152,2,2,2,1,2,0,5
357,357,3,85,8,880,57,43,100,43,108,1,3,5,2,1,1,5
358,358,4,86,14,264,68,316,384,20,326,2,3,2,2,2,1,2
359,359,4,87,14,2772,9,386,395,21,340,2,3,2,2,2,1,5
360,360,2,86,5,870,58,34,92,29,86,1,3,3,3,2,1,1
361,361,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
362,362,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
363,363,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
364,364,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
365,365,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
366,366,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
367,367,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
368,368,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
369,369,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
370,370,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
371,371,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
372,372,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
373,373,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
374,374,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
